Year,Month,Event date and time,Restoration date and time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2018,6,06/28/2018 2:50 PM,06/29/2018 9:00 AM,"18 Hours, 10 Minutes",,Southern Company,SERC,Alabama: Georgia:,hour or more-Severe Weather,,160,48109
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,6,06/28/2018 6:36 PM,07/01/2018 7:00 AM,"60 Hours, 24 Minutes",,Ameren Missouri,SERC,Missouri: Illinois:,hour or more-Severe Weather,Unknown,,112000
,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,system loads for 15 minutes or,,,
,,,,,,,,,more from a single incident-,,,
2018,6,06/29/2018 7:35 AM,06/29/2018 9:30 AM,,"1 Hours, 55 Minutes",Minnesota Power,MRO,Minnesota: St. Louis County;,Severe Weather,,350,Unknown
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability-,,,
2018,7,07/11/2018 12:58 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California:,Fuel Supply Deficiency,,0,0
,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,system loads for 15 minutes or,,,
,,,,,,,,,more from a single incident-,,,
2018,7,07/11/2018 3:40 PM,07/11/2018 4:00 PM,,"0 Hours, 20 Minutes",Tennessee Valley Authority,SERC,Tennessee:,Transmission Interruption,,425,26195
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability-,,,
2018,7,07/16/2018 5:15 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California: Merced County;,Fuel Supply Deficiency,,0,0
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability-,,,
2018,7,07/18/2018 4:00 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California: Fresno County;,Fuel Supply Deficiency,,0,0
,,,,,,,,,"Total generation loss, within",,,
,,,,,,,,,one minute of: greater than or,,,
,,,,,,,,,"equal to 2,000 Megawatts in",,,
,,,,,,,,,the Eastern or Western,,,
,,,,,,,,,Interconnection or greater than,,,
,,,,,,,,,"or equal to 1,400 Megawatts in",,,
,,,,,,,,,the ERCOT Interconnection.-,,,
,,,,,,,,,Severe Weather/Transmission,,,
2018,7,07/18/2018 5:28 PM,07/18/2018 5:31 PM,,"0 Hours, 3 Minutes",Bonneville Power Administration,WECC,Oregon:,Interruption,Unknown,,Unknown
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,7,07/20/2018 4:19 PM,07/20/2018 4:48 PM,,"0 Hours, 29 Minutes",Tennessee Valley Authority,SERC,Kentucky:,hour or more-Severe Weather,Unknown,,87833
,,,,,,,,,,,3/26/2019 10:57:08 AM,
"Table B.2 Major Disturbances and Unusual Occurrences, 2018",,,,,,,,,,,,
,,,,,,,,,,,,Number of
Restoration Date and,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,7,07/21/2018 4:45 AM,07/21/2018 11:15 AM,,"6 Hours, 30 Minutes",Entergy Corp,SERC,Arkansas:,hour or more-Severe Weather,,Unknown,64930
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,7,07/21/2018 7:20 AM,07/21/2018 11:30 AM,,"4 Hours, 10 Minutes",Southern Company,SERC,Georgia:,hour or more-Severe Weather,,143,42901
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2018,7,07/23/2018 4:16 AM,07/23/2018 4:29 AM,,"0 Hours, 13 Minutes",Duke Energy Florida,FRCC,Florida: Pinellas County;,Interruption,,40,Unknown
,,,,,,,,,Public appeal to reduce the use,,,
,,,,,,,,,of electricity for purposes of,,,
,,,,,,,,,maintaining the continuity of the,,,
,,,,,,,,,Bulk Electric System-Natural,,,
2018,7,07/26/2018 8:24 PM,.,.,". Hours, . Minutes",Redding Electric Utility,WECC,California: Shasta County;,,Disaster,Unknown,Unknown
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blocked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system-System,,,
2018,7,07/27/2018 9:34 AM,07/27/2018 9:51 AM,,"0 Hours, 17 Minutes",Peak Reliability,WECC,Washington: Clark County;,Operations,,Unknown,Unknown
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Severe,,,
,,,,,,,,,Weather/Transmission,,,
2018,7,07/27/2018 4:28 PM,07/27/2018 4:33 PM,,"0 Hours, 5 Minutes",Consolidated Edison Co-NY Inc,NPCC,New York: New York County;,Interruption,,0,0
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,7,07/29/2018 2:33 PM,07/29/2018 6:23 PM,,"3 Hours, 50 Minutes",Pacific Gas & Electric Co,WECC,California:,hour or more-Natural Disaster,,83,57670
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,7,07/30/2018 6:30 AM,07/30/2018 11:00 PM,"16 Hours, 30 Minutes",,Arizona Public Service Co,WECC,Arizona: Maricopa County;,hour or more-Severe Weather,,Unknown,82000
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blocked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system.-Natural,,,
2018,8,08/07/2018 1:22 AM,08/07/2018 1:59 AM,,"0 Hours, 37 Minutes",Pacific Gas & Electric Co,WECC,California: Butte County;,,Disaster,5,485
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blocked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system.-Natural,,,
2018,8,08/07/2018 1:22 AM,08/07/2018 7:04 PM,"17 Hours, 42 Minutes",,Pacific Gas & Electric Co,WECC,California: Butte County;,,Disaster,27,11383
,,,,,,,,"Michigan: Muskegon County,",,,,
,,,,,,,,"Newaygo County, Oceana",,,,
,,,,,,,,"County, Mason County, Kent",,,,
,,,,,,,,"County, Mecosta County,",,,,
,,,,,,,,"Montcalm County, Isabella",Loss of electric service to more,,,
,,,,,,,,"County, Midland County,","than 50,000 customers for 1",,,
2018,8,08/26/2018 10:00 PM,08/27/2018 4:56 AM,,"6 Hours, 56 Minutes",Consumers Energy Co,RF,Saginaw County;,hour or more.-Severe Weather,,Unknown,67000
,,,,,,,,"Michigan: Benzie County, Barry",,,,
,,,,,,,,"County, Grand Traverse",,,,
,,,,,,,,"County, Kalkaska County,",,,,
,,,,,,,,"Mason County, Oceana",,,,
,,,,,,,,"County, Muskegon County,",,,,
,,,,,,,,"Kent County, Newaygo County,",,,,
,,,,,,,,"Montcalm County, Mecosta",,,,
,,,,,,,,"County, Antrim County, Eaton",,,,
,,,,,,,,"County, Ionia County, Isabella",Loss of electric service to more,,,
,,,,,,,,"County, Clare County, Saginaw","than 50,000 customers for 1",,,
2018,8,08/28/2018 8:00 PM,08/30/2018 2:59 PM,"42 Hours, 59 Minutes",,Consumers Energy Co,RF,County;,hour or more.-Severe Weather,,Unknown,110000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,8,08/29/2018 12:00 AM,08/30/2018 12:00 AM,,"24 Hours, 0 Minutes",ComEd,SERC,Illinois:,hour or more.-Severe Weather,,Unknown,100000
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Natural,,,
,,,,,,,,,Disaster/Transmission,,,
2018,8,08/31/2018 3:07 PM,08/31/2018 3:31 PM,,"0 Hours, 24 Minutes",Pacificorp,WECC,Oregon:,Interruption,,96,50000
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,,reclosing).-Transmission,,,
2018,9,09/06/2018 2:26 AM,09/06/2018 2:27 AM,,"0 Hours, 1 Minutes",Tampa Electric Co,FRCC,Florida: Hillsborough County;,Interruption,,0,0
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,9,09/13/2018 8:30 PM,09/19/2018 5:00 PM,"140 Hours, 30 Minutes",,North Carolina El Member Corp,SERC,North Carolina:,hour or more.-Severe Weather,,300,325000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,9,09/13/2018 8:56 PM,09/20/2018 7:00 PM,"166 Hours, 4 Minutes",,Duke Energy Progress,SERC,North Carolina: South Carolina:,hour or more.-Severe Weather,,Unknown,1457583
,,,,,,,,"South Carolina: Horry County,",,,,
,,,,,,,,"Chesterfield County, Dillon",,,,
,,,,,,,,"County, Georgetown County,",Loss of electric service to more,,,
,,,,,,,,"Marlboro County, Darlington","than 50,000 customers for 1",,,
2018,9,09/15/2018 1:05 AM,09/17/2018 4:00 PM,"62 Hours, 55 Minutes",,South Carolina Pub Serv Auth,SERC,County;,hour or more.-Severe Weather,,Unknown,50100
,,,,,,,,,Public appeal to reduce the use,,,
,,,,,,,,,of electricity for purposes of,,,
,,,,,,,,,maintaining the continuity of the,,,
,,,,,,,,,Bulk Electric System.-System,,,
2018,9,09/15/2018 3:00 PM,09/15/2018 6:00 PM,,"3 Hours, 0 Minutes",Louisiana Generating LLC,SERC,Louisiana:,Operations,,Unknown,Unknown
,,,,,,,,,,,3/26/2019 10:57:08 AM
"Table B.2 Major Disturbances and Unusual Occurrences, 2018",,,,,,,,,,,
,,,,,,,,,,Number of,
Restoration Date and,,,,,,,NERC,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected
,,,,,,,,,Public appeal to reduce the use,,
,,,,,,,,,of electricity for purposes of,,
,,,,,,,,,maintaining the continuity of the,,
,,,,,,,,,Bulk Electric System.-System,,
2018,9,09/15/2018 3:00 PM,09/15/2018 6:00 PM,,"3 Hours, 0 Minutes",Cooperative Energy,SERC,Mississippi: Forrest County;,Operations,1322,420000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,9,09/16/2018 8:00 AM,09/18/2018 7:40 PM,"59 Hours, 40 Minutes",,Duke Energy Carolinas,SERC,North Carolina: South Carolina:,hour or more.-Severe Weather,Unknown,50000
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
2018,9,09/22/2018 3:23 PM,09/22/2018 11:00 PM,,"7 Hours, 37 Minutes",Los Angeles Department of Water & Power,WECC,California: Los Angeles County;,reclosing).-Natural Disaster,3507,2500
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Transmission,,
2018,9,09/26/2018 1:54 PM,09/26/2018 5:58 PM,,"4 Hours, 4 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,Interruption,0,0
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/10/2018 11:59 AM,.,.,". Hours, . Minutes",Southern Company,FRCC,Florida: Alabama: Georgia:,hour or more-Severe Weather,152,45604
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/10/2018 2:00 PM,10/11/2018 6:00 AM,,"16 Hours, 0 Minutes",Seminole Electric Cooperative Inc.,FRCC,Florida:,hour or more-Severe Weather,135,60717
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/10/2018 4:00 PM,10/19/2018 6:00 AM,"206 Hours, 0 Minutes",,City of Tallahassee,FRCC,Florida:,hour or more-Severe Weather,330,55000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/11/2018 7:21 AM,10/11/2018 3:00 PM,,"7 Hours, 39 Minutes",South Carolina Electric and Gas,SERC,South Carolina:,hour or more-Severe Weather,Unknown,71654
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/11/2018 1:15 PM,.,.,". Hours, . Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,hour or more-Severe Weather,Unknown,240807
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/11/2018 4:42 PM,10/12/2018 9:00 PM,"28 Hours, 18 Minutes",,Duke Energy Progress,SERC,North Carolina: South Carolina:,hour or more-Severe Weather,Unknown,170222
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/11/2018 6:55 PM,10/12/2018 12:00 PM,,"17 Hours, 5 Minutes",North Carolina El Member Corp,SERC,North Carolina:,hour or more-Severe Weather,Unknown,117000
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Transmission,,
2018,10,10/12/2018 3:36 AM,10/12/2018 1:56 PM,"10 Hours, 20 Minutes",,PJM Interconnection,RF,Maryland: Garrett County;,Interruption,0,0
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/14/2018 10:11 PM,.,.,". Hours, . Minutes",Pacific Gas & Electric Co,WECC,California:,hour or more-Natural Disaster,Unknown,60000
,,,,,,,,Connecticut: Rhode Island:,Loss of electric service to more,,
,,,,,,,,Massachusetts: Vermont: New,"than 50,000 customers for 1",,
2018,10,10/16/2018 4:15 AM,10/16/2018 5:11 PM,"12 Hours, 56 Minutes",,ISO New England,NPCC,Hampshire: Maine:,hour or more-Severe Weather,Unknown,18000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/21/2018 12:16 AM,10/21/2018 4:14 PM,"15 Hours, 58 Minutes",,American Electric Power,RF,West Virginia:,hour or more-Severe Weather,Unknown,63408
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,10,10/31/2018 7:30 PM,11/01/2018 6:55 PM,"23 Hours, 25 Minutes",,CenterPoint Energy,TRE,Texas: Harris County;,hour or more-Severe Weather,402,140932
,,,,,,,,Connecticut: Massachusetts:,Loss of electric service to more,,
,,,,,,,,New Hampshire: Vermont:,"than 50,000 customers for 1",,
2018,11,11/03/2018 5:20 PM,11/04/2018 2:30 PM,"21 Hours, 10 Minutes",,ISO New England,NPCC,Maine: Rhode Island:,hour or more.-Severe Weather,Unknown,62000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,11,11/06/2018 9:49 AM,11/09/2018 2:05 PM,"76 Hours, 16 Minutes",,Tennessee Valley Authority,SERC,Tennessee:,hour or more.-Severe Weather,Unknown,61000
,,,,,,,,,Electrical System Separation,,
,,,,,,,,,(Islanding) where part or parts,,
,,,,,,,,,of power grid remain(s),,
,,,,,,,,,operational in an otherwise,,
,,,,,,,,,blocked out area or within the,,
,,,,,,,,,partial failure of an integrated,,
,,,,,,,,,electrical system-Natural,,
,,,,,,,,,Disaster/Transmission,,
2018,11,11/08/2018 7:16 AM,11/28/2018 4:32 PM,"489 Hours, 16 Minutes",,Pacific Gas & Electric Co,WECC,California: Butte County;,Interruption,32,11844
,,,,,,,,,Fuel supply emergencies that,,
,,,,,,,,,could impact electric power,,
,,,,,,,,,system adequacy or reliability-,,
2018,11,11/10/2018 5:02 PM,11/14/2018 3:00 PM,"93 Hours, 58 Minutes",,WPSC,MRO,Wisconsin:,Fuel Supply Deficiency,0,0
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,11,11/15/2018 3:23 AM,11/15/2018 5:35 PM,"14 Hours, 12 Minutes",,LG&E KU,SERC,Kentucky:,hour or more.-Severe Weather,Unknown,150000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,11,11/15/2018 5:28 AM,11/15/2018 8:35 AM,,"3 Hours, 7 Minutes",Duke Energy Midwest,RF,Indiana:,hour or more.-Severe Weather,Unknown,55000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,11,11/15/2018 5:38 AM,11/16/2018 6:00 AM,"24 Hours, 22 Minutes",,Duke Energy Midwest,SERC,Kentucky: Ohio:,hour or more.-Severe Weather,Unknown,104000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,11,11/15/2018 10:50 AM,11/17/2018 1:12 PM,"50 Hours, 22 Minutes",,American Electric Power - (RFC Reliability Region),RF,Virginia: West Virginia:,hour or more.-Severe Weather,Unknown,50600
,,,,,,,,,,,3/26/2019 10:57:08 AM
"Table B.2 Major Disturbances and Unusual Occurrences, 2018",,,,,,,,,,,
,,,,,,,,,,,Number of
Restoration Date and,,,,,,,NERC,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),Affected
,,,,,,,,"Illinois: Will County, DuPage",,,
,,,,,,,,"County, Kane County, McHenry",,,
,,,,,,,,"County, Winnebago County,",,,
,,,,,,,,"Ogle County, DeKalb County,",,,
,,,,,,,,"Lee County, Grundy County,",,,
,,,,,,,,"Lake County, Cook County,",,,
,,,,,,,,"Livingston County, Stephenson",,,
,,,,,,,,"County, LaSalle County,",Loss of electric service to more,,
,,,,,,,,"Kankakee County, Kendall","than 50,000 customers for 1",,
2018,11,11/25/2018 10:30 PM,11/28/2018 8:17 PM,"69 Hours, 47 Minutes",,ComEd,SERC,"County, Boone County;",hour or more.-Severe Weather,Unknown,313448
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,Maine: New Hampshire:,"than 50,000 customers for 1",,
2018,11,11/27/2018 8:00 AM,11/28/2018 4:50 PM,"32 Hours, 50 Minutes",,ISO New England,NPCC,Vermont:,hour or more.-Severe Weather,Unknown,32000
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Transmission,,
2018,12,12/03/2018 3:15 AM,12/03/2018 3:44 AM,,"0 Hours, 29 Minutes",ERCOT,TRE,Texas:,Interruption,16,Unknown
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,12,12/09/2018 12:23 AM,12/09/2018 11:54 AM,"11 Hours, 31 Minutes",,Southern Company,SERC,Alabama: Georgia:,hour or more.-Severe Weather,137,41126
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
,,,,,,,,,hour or more.-Severe,,
,,,,,,,,,Weather/Transmission,,
2018,12,12/09/2018 3:35 AM,12/10/2018 11:45 PM,"44 Hours, 10 Minutes",,Duke Energy Carolinas,SERC,North Carolina:,Interruption,Unknown,50000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,,"than 50,000 customers for 1",,
2018,12,12/09/2018 8:41 AM,12/09/2018 6:00 PM,,"9 Hours, 19 Minutes",Duke Energy Progress,SERC,North Carolina:,hour or more.-Severe Weather,Unknown,70000
,,,,,,,,"Washington: King County,",,,
,,,,,,,,"Kitsap County, Island County,",,,
,,,,,,,,"Pierce County, Thurston",Loss of electric service to more,,
,,,,,,,,"County, Whatcom County,","than 50,000 customers for 1",,
2018,12,12/14/2018 4:00 PM,12/17/2018 2:00 AM,,"58 Hours, 0 Minutes",Puget Sound Energy,WECC,"Skagit County, Kittitas County;",hour or more.-Severe Weather,Unknown,150000
,,,,,,,,,Loss of electric service to more,,
,,,,,,,,Washington: Snohomish,"than 50,000 customers for 1",,
2018,12,12/14/2018 6:00 PM,.,.,". Hours, . Minutes",Snohomish County PUD No. 1,WECC,County;,hour or more.-Severe Weather,200,60000
,,,,,,,,"Washington: Skagit County,",,,
,,,,,,,,"Snohomish County, King",Loss of electric service to more,,
,,,,,,,,"County, Kitsap County, Island","than 50,000 customers for 1",,
2018,12,12/20/2018 9:30 AM,12/20/2018 5:00 PM,,"7 Hours, 30 Minutes",Puget Sound Energy,WECC,County;,hour or more.-Severe Weather,Unknown,165000
,,,,,,,,,Unexpected Transmission loss,,
,,,,,,,,,"within its area, contrary to",,
,,,,,,,,,"design, of three or more Bulk",,
,,,,,,,,,Electric System Facilities,,
,,,,,,,,,caused by a common,,
,,,,,,,,,disturbance (excluding,,
,,,,,,,,,successful automatic,,
,,,,,,,,,reclosing).-Transmission,,
2018,12,12/27/2018 9:12 PM,12/27/2018 9:16 PM,,"0 Hours, 4 Minutes",Consolidated Edison Co-NY Inc.,NPCC,New York: New York County;,Interruption,Unknown,Unknown
"Note: Customers affected are estimates and are preliminary. Source: Form OE-417, 'Electric Emergency Incident and Disturbance Report.'",,,,,,,,,,,
