Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2020,63292,100 Brook Hill Drive Solar,63059,Diamond Properties,NY,NYIS,0.0,0,0,178.0,"2,483",1,0.0,0,0,0.0,0,0,178.0,"2,483",1
2020,59371,12 Applegate Solar LLC,62629,G&S Operations LLC,NJ,PJM,0.0,0,0,149.0,"2,277",1,0.0,0,0,0.0,0,0,149.0,"2,277",1
2020,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,0.0,0,0,0.0,0,0,612.0,"4,844",1,0.0,0,0,612.0,"4,844",1
2020,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,0.0,0,0,0.0,0,0,318.0,"2,514",1,0.0,0,0,318.0,"2,514",1
2020,59365,24 Applegate Solar LLC,60281,"Altus Power America Management, LLC",NJ,PJM,0.0,0,0,119.0,"1,243",1,0.0,0,0,0.0,0,0,119.0,"1,243",1
2020,61518,301 Chestnut Solar NG,61125,"301 Chestnut Solar NG, LLC",MA,ISNE,0.0,0,0,231.0,"2,498",1,0.0,0,0,0.0,0,0,231.0,"2,498",1
2020,61224,"350 Clark Solar, NG, LLC",60857,"350 Clark Solar NG, LLC",NJ,PJM,0.0,0,0,407.0,"2,073",1,0.0,0,0,0.0,0,0,407.0,"2,073",1
2020,59370,4 Applegate Solar LLC,62629,G&S Operations LLC,NJ,PJM,0.0,0,0,155.0,"2,059",1,0.0,0,0,0.0,0,0,155.0,"2,059",1
2020,63366,435A Bergen Avenue,60268,Hartz Solar LLC,NJ,PJM,0.0,0,0,83.0,"2,140",1,0.0,0,0,0.0,0,0,83.0,"2,140",1
2020,62325,46 Meadowlands Parkway,60268,Hartz Solar LLC,NJ,PJM,0.0,0,0,197.0,"2,576",1,0.0,0,0,0.0,0,0,197.0,"2,576",1
2020,57640,500 Virginia Solar,64045,Alliance HP Virginia Drive LLC,PA,PJM,0.0,0,0,14.0,196,1,0.0,0,0,0.0,0,0,14.0,196,1
2020,62326,77 Metro Way,60268,Hartz Solar LLC,NJ,PJM,0.0,0,0,134.0,"1,554",2,0.0,0,0,0.0,0,0,134.0,"1,554",2
2020,58798,"AC Criminal Courts Complex SPE2, LLC",58661,"Sustainable Power Group, LLC",NJ,PJM,0.0,0,0,215.0,"1,826",1,0.0,0,0,0.0,0,0,215.0,"1,826",1
2020,57845,AC Landfill Energy LLC,57173,AC Landfill Energy LLC,NJ,PJM,0.0,0,0,0.0,0,0,304.0,"3,332",1,0.0,0,0,304.0,"3,332",1
2020,60802,ACCC Mays Landing,61944,Goldman Sachs Renewable Power Group,NJ,PJM,0.0,0,0,181.0,"1,958",1,0.0,0,0,0.0,0,0,181.0,"1,958",1
2020,61068,AES LAWAI SOLAR Hybrid,61012,AES Distributed Energy,HI,NA,0.0,0,0,"4,293.0","38,932",1,0.0,0,0,0.0,0,0,"4,293.0","38,932",1
2020,63161,AES Tonawanda Solar LLC,61012,AES Distributed Energy,NY,NYIS,0.0,0,0,271.0,"3,045",1,0.0,0,0,0.0,0,0,271.0,"3,045",1
2020,60986,AIS Solar Project,63249,Terraform Arcadia,MA,ISNE,0.0,0,0,"2,697.0","13,328",1,0.0,0,0,0.0,0,0,"2,697.0","13,328",1
2020,62629,APG New Chesapeake,60584,Onyx Asset Services Group,MD,PJM,0.0,0,0,615.0,"4,129",1,0.0,0,0,0.0,0,0,615.0,"4,129",1
2020,62628,APG Old Bayside,60584,Onyx Asset Services Group,MD,PJM,0.0,0,0,463.0,"3,110",1,0.0,0,0,0.0,0,0,463.0,"3,110",1
2020,60085,AVS Lancaster 1,60947,Tesla Inc.,CA,CISO,0.0,0,0,469.0,"7,446",1,0.0,0,0,0.0,0,0,469.0,"7,446",1
2020,58632,Actus Lend Lease DMAFB,60947,Tesla Inc.,AZ,TEPC,0.0,0,0,496.0,"3,945",1,0.0,0,0,0.0,0,0,496.0,"3,945",1
2020,58270,Acushnet AD Makepeace,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,448.0,"5,884",1,0.0,0,0,0.0,0,0,448.0,"5,884",1
2020,58271,Acushnet Hawes Reed Road,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,136.0,"1,785",1,0.0,0,0,0.0,0,0,136.0,"1,785",1
2020,59128,Acushnet- High Hill,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,290.0,"4,153",1,0.0,0,0,0.0,0,0,290.0,"4,153",1
2020,59121,Acushnet-Braley Road 1,59622,"Ahana Renewables, LLC",MA,ISNE,0.0,0,0,185.0,"2,316",1,0.0,0,0,0.0,0,0,185.0,"2,316",1
2020,60772,Adams Ave MS and HS,61944,Goldman Sachs Renewable Power Group,NJ,PJM,0.0,0,0,470.0,"4,855",1,0.0,0,0,0.0,0,0,470.0,"4,855",1
2020,59788,"Advance Stores Company, Inc",60947,Tesla Inc.,CT,ISNE,0.0,0,0,113.0,611,1,0.0,0,0,0.0,0,0,113.0,611,1
2020,63303,Alticor Inc - Solar Project,61944,Goldman Sachs Renewable Power Group,CA,CISO,0.0,0,0,139.0,"1,865",1,0.0,0,0,0.0,0,0,139.0,"1,865",1
2020,61850,Amana Society Service Company,471,Amana Society Service Co,IA,MISO,950.0,"7,195",712,934.0,"7,817",179,"5,453.0","70,226",1,0.0,0,0,"7,337.0","85,238",892
2020,58357,Amazon,63068,CVI CleanCapital Solar 4 LLC,NJ,PJM,0.0,0,0,216.0,"5,242",1,0.0,0,0,0.0,0,0,216.0,"5,242",1
2020,61377,Amazon - Patterson PV,61012,AES Distributed Energy,CA,BANC,0.0,0,0,418.0,"4,515",1,0.0,0,0,0.0,0,0,418.0,"4,515",1
2020,63537,Amazon BDL3 Solar Project,63259,Solar Star Prime 1 LLC,CT,ISNE,0.0,0,0,93.0,"1,336",1,0.0,0,0,0.0,0,0,93.0,"1,336",1
2020,63536,Amazon DEN2 Solar Project,63259,Solar Star Prime 1 LLC,CO,PSCO,0.0,0,0,73.0,"1,729",1,0.0,0,0,0.0,0,0,73.0,"1,729",1
2020,64360,"American Goldfinch SCS ACY2 NJ, LLC",61677,Sol Systems,NJ,PJM,0.0,0,0,101.0,"1,681",1,0.0,0,0,0.0,0,0,101.0,"1,681",1
2020,60684,Amphitheater High School Solar,60404,"Constellation Solar Arizona 2, LLC",AZ,TEPC,0.0,0,0,224.0,"2,222",1,0.0,0,0,0.0,0,0,224.0,"2,222",1
2020,59331,Anheuser-Busch #2,56930,"Foundation HA Energy Generation, LLC",CA,CISO,0.0,0,0,0.0,0,0,276.0,"3,405",1,0.0,0,0,276.0,"3,405",1
2020,61575,Anheuser-Busch Baldwinsville,61012,AES Distributed Energy,NY,NYIS,0.0,0,0,267.0,"2,516",1,0.0,0,0,0.0,0,0,267.0,"2,516",1
2020,59489,Anthony Wayne Solar #1,59244,GEM Energy LLC,OH,PJM,0.0,0,0,131.0,"1,716",1,0.0,0,0,0.0,0,0,131.0,"1,716",1
2020,60662,Archdiocese of Baltimore J,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,281.0,"3,456",1,0.0,0,0,0.0,0,0,281.0,"3,456",1
2020,60663,Archdiocese of Baltimore L,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,285.0,"3,512",1,0.0,0,0,0.0,0,0,285.0,"3,512",1
2020,57765,Arizona Western College PV,61012,AES Distributed Energy,AZ,AZPS,0.0,0,0,"1,910.0","7,912",1,0.0,0,0,0.0,0,0,"1,910.0","7,912",1
2020,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0.0,0,0,0.0,0,0,"2,735.0","172,042",1,0.0,0,0,"2,735.0","172,042",1
2020,56900,Atlantic City Convention Center,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0.0,0,0,538.0,"3,054",1,0.0,0,0,0.0,0,0,538.0,"3,054",1
2020,58360,Atlantic Coast Freezers Solar Facility,63068,CVI CleanCapital Solar 4 LLC,NJ,PJM,0.0,0,0,194.0,"2,777",1,0.0,0,0,0.0,0,0,194.0,"2,777",1
2020,60227,BJ's Wholesale Club Inc Dist Center,60947,Tesla Inc.,NJ,PJM,0.0,0,0,155.0,"2,331",1,0.0,0,0,0.0,0,0,155.0,"2,331",1
2020,60116,"BJ's Wholesale Club, Inc- Uxbridge",60947,Tesla Inc.,MA,ISNE,0.0,0,0,44.0,924,1,0.0,0,0,0.0,0,0,44.0,924,1
2020,61893,BNB Camden Solar,61508,BNB Camden Solar LLC,NJ,PJM,0.0,0,0,532.0,"5,316",1,0.0,0,0,0.0,0,0,532.0,"5,316",1
2020,60067,BWC Swan Pond River CSG,59805,"BWC Swan Pond River, LLC",MA,ISNE,0.0,0,0,269.0,"2,048",1,0.0,0,0,0.0,0,0,269.0,"2,048",1
2020,60664,Baltimore City B,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,257.0,"3,147",1,0.0,0,0,0.0,0,0,257.0,"3,147",1
2020,60665,Baltimore City D,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,245.0,"2,995",1,0.0,0,0,0.0,0,0,245.0,"2,995",1
2020,60666,Baltimore City F,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,239.0,"2,934",1,0.0,0,0,0.0,0,0,239.0,"2,934",1
2020,60667,Baltimore City G,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,259.0,"3,174",1,0.0,0,0,0.0,0,0,259.0,"3,174",1
2020,63298,"Barrette Outdoor Living, Inc.",62994,"Dynamic Energy Solutions, LLC",NJ,PJM,0.0,0,0,67.0,"2,668",1,0.0,0,0,0.0,0,0,67.0,"2,668",1
2020,10298,Bayou Cogen Plant,327,Air Liquide Large Industries U S LP,TX,ERCO,0.0,0,0,0.0,0,0,"6,204.0","264,306",1,0.0,0,0,"6,204.0","264,306",1
2020,55327,Baytown Energy Center,2838,Baytown Energy Center LLC,TX,ERCO,0.0,0,0,0.0,0,0,"24,781.0","1,688,644",1,0.0,0,0,"24,781.0","1,688,644",1
2020,62074,"Bd of Educ of Queen Anne's Cnty, Cnty HS",60947,Tesla Inc.,MD,PJM,0.0,0,0,172.0,"2,884",1,0.0,0,0,0.0,0,0,172.0,"2,884",1
2020,59546,Beaver Solar LLC,59287,Laurel Capital Partners,PA,PJM,0.0,0,0,0.0,0,0,189.0,"1,269",1,0.0,0,0,189.0,"1,269",1
2020,63262,Becton Canaan,63058,"DG Northeast 1, LLC",CT,ISNE,0.0,0,0,256.0,"3,644",1,0.0,0,0,0.0,0,0,256.0,"3,644",1
2020,58403,Bellingham PV,63249,Terraform Arcadia,MA,ISNE,0.0,0,0,250.0,"4,669",1,0.0,0,0,0.0,0,0,250.0,"4,669",1
2020,57733,Benjamin Moore & Co. Solar,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0.0,0,0,0.0,0,0,77.0,"2,039",1,0.0,0,0,77.0,"2,039",1
2020,63200,"Bergenmand Solar Partners, LLC Mahwah",60474,"Vanguard Energy Partners, LLC",NJ,PJM,0.0,0,0,34.0,"1,398",1,0.0,0,0,0.0,0,0,34.0,"1,398",1
2020,58624,Berkshire 1,58578,PPS Berkshire Solar LLC,MA,ISNE,0.0,0,0,263.0,"2,442",1,0.0,0,0,0.0,0,0,263.0,"2,442",1
2020,59097,Berry Plastics Solar,61944,Goldman Sachs Renewable Power Group,NJ,PJM,0.0,0,0,"1,378.0","16,028",1,0.0,0,0,0.0,0,0,"1,378.0","16,028",1
2020,61671,Betcher Community Solar Garden,61256,Betcher CSG LLC,MN,MISO,202.0,"1,777",5,0.0,0,0,0.0,0,0,0.0,0,0,202.0,"1,777",5
2020,64143,Bloom-Altice Fuel Cell,60571,"AEP Onsite Partners, LLC",NY,NYIS,0.0,0,0,313.0,"3,702",1,0.0,0,0,0.0,0,0,313.0,"3,702",1
2020,62077,Blue Shld Of Cal- El Dorado Hlls Mtr B,60947,Tesla Inc.,CA,BANC,0.0,0,0,180.0,"1,301",1,0.0,0,0,0.0,0,0,180.0,"1,301",1
2020,56862,Bolthouse S&P and Rowen Farms Solar,56105,MMA WBF Power LP,CA,CISO,0.0,0,0,176.0,"2,779",1,0.0,0,0,0.0,0,0,176.0,"2,779",1
2020,59014,Bolton PV,61012,AES Distributed Energy,MA,ISNE,0.0,0,0,"2,877.0","7,193",1,0.0,0,0,0.0,0,0,"2,877.0","7,193",1
2020,57992,Boston Scientific Solar,57365,Consolidated Edison Solutions Inc,MA,ISNE,0.0,0,0,0.0,0,0,139.0,"1,561",1,0.0,0,0,139.0,"1,561",1
2020,58327,Bradley Energy Center,58300,Ameresco Select Inc,CT,ISNE,0.0,0,0,"1,850.0","15,021",1,0.0,0,0,0.0,0,0,"1,850.0","15,021",1
2020,62157,Breesport Road Community Solar Farm,62706,"NY Baldwin I, LLC",NY,NYIS,233.0,"3,223",313,0.0,0,0,0.0,0,0,0.0,0,0,233.0,"3,223",313
2020,64580,Broadway 2 - Tucson Phase II,61944,Goldman Sachs Renewable Power Group,AZ,TEPC,0.0,0,0,749.0,"7,104",1,0.0,0,0,0.0,0,0,749.0,"7,104",1
2020,64579,Broadway 2 - UC Riverside,61944,Goldman Sachs Renewable Power Group,CA,CISO,0.0,0,0,429.0,"5,096",1,0.0,0,0,0.0,0,0,429.0,"5,096",1
2020,60451,Brookside,63249,Terraform Arcadia,RI,ISNE,0.0,0,0,243.0,"1,625",1,0.0,0,0,0.0,0,0,243.0,"1,625",1
2020,60507,Broome County,60947,Tesla Inc.,NY,NYIS,0.0,0,0,228.0,"3,132",1,0.0,0,0,0.0,0,0,228.0,"3,132",1
2020,58037,Buckeye Union HS District 201,57408,Constellation Solar Arizona LLC,AZ,AZPS,0.0,0,0,951.0,"7,408",1,0.0,0,0,0.0,0,0,951.0,"7,408",1
2020,62712,Burlington Coat Factory Solar,62155,"DG Northeast Solar II, LLC",NJ,PJM,0.0,0,0,281.0,"4,643",1,0.0,0,0,0.0,0,0,281.0,"4,643",1
2020,58618,Butler Plaza,58570,CF Gainesville Owner One LLC,FL,GVL,0.0,0,0,362.0,"1,041",1,0.0,0,0,0.0,0,0,362.0,"1,041",1
2020,52147,C P Kelco San Diego Plant,3221,CPKelco U S Inc,CA,CISO,0.0,0,0,0.0,0,0,6.0,72,1,0.0,0,0,6.0,72,1
2020,60428,CA Dept of Public Health at Richmond,58540,California PV Energy LLC,CA,CISO,0.0,0,0,334.0,"3,443",1,0.0,0,0,0.0,0,0,334.0,"3,443",1
2020,62613,CBP Solar,62067,EnterSolar,NY,NYIS,362.0,"2,472",765,0.0,0,0,0.0,0,0,0.0,0,0,362.0,"2,472",765
2020,58440,CBS Studio Center,59413,Crestmark Bank,CA,LDWP,0.0,0,0,"1,517.0","7,434",2,0.0,0,0,0.0,0,0,"1,517.0","7,434",2
2020,60036,CCBC-Catonsville,58491,"Constellation Solar Holding, LLC",MD,PJM,0.0,0,0,219.0,"2,734",1,0.0,0,0,0.0,0,0,219.0,"2,734",1
2020,61620,CDCR (CA) - Corcoran State Prison,61225,"SunE Corcoran SP Owner, LLC",CA,CISO,0.0,0,0,866.0,"8,686",1,0.0,0,0,0.0,0,0,866.0,"8,686",1
2020,59748,CDCR (CA) - Pleasant Valley State Prison,59512,"Team-Solar, Inc.",CA,CISO,0.0,"2,929",1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"2,929",1
2020,61619,CDCR (CA) - Solano State Prison,61224,"SunE Solano SP Owner, LLC",CA,CISO,0.0,"1,927",1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"1,927",1
2020,61621,CDCR (CA) - Wasco State Prison,61226,"SunE Wasco SP Owner, LLC",CA,CISO,0.0,"2,985",0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,"2,985",0
2020,62681,CED Champaign Solar LLC,56769,Consolidated Edison Development Inc.,IL,MISO,0.0,0,0,0.0,0,0,22.0,675,1,0.0,0,0,22.0,675,1
2020,60201,CES Cherry Hill Solar,57365,Consolidated Edison Solutions Inc,NJ,PJM,0.0,0,0,0.0,0,0,245.0,"1,804",1,0.0,0,0,245.0,"1,804",1
2020,60029,CES VMT Solar,57365,Consolidated Edison Solutions Inc,MD,PJM,0.0,0,0,0.0,0,0,169.0,"1,540",1,0.0,0,0,169.0,"1,540",1
2020,63204,CID Solar (CA),62988,DG California Solar LLC,CA,CISO,0.0,0,0,0.0,0,0,368.0,"4,219",1,0.0,0,0,368.0,"4,219",1
2020,60225,CMEEC - Bozrah,60947,Tesla Inc.,CT,ISNE,0.0,0,0,448.0,"2,598",1,0.0,0,0,0.0,0,0,448.0,"2,598",1
2020,60608,CMEEC - Navy NE Trident,60947,Tesla Inc.,CT,ISNE,0.0,0,0,198.0,"1,400",1,0.0,0,0,0.0,0,0,198.0,"1,400",1
2020,60609,CMEEC - Norwich Stott St Solar Hybrid,60947,Tesla Inc.,CT,ISNE,0.0,0,0,708.0,"5,210",1,0.0,0,0,0.0,0,0,708.0,"5,210",1
2020,60607,CMEEC - Polaris Park Solar Hybrid,60947,Tesla Inc.,CT,ISNE,0.0,0,0,833.0,"5,646",1,0.0,0,0,0.0,0,0,833.0,"5,646",1
2020,60605,CMEEC - Rogers Rd Solar,60947,Tesla Inc.,CT,ISNE,0.0,0,0,208.0,"1,459",1,0.0,0,0,0.0,0,0,208.0,"1,459",1
2020,54323,CNN Center,18452,Turner Properties Inc,GA,SOCO,0.0,0,0,416.0,"6,752",21,0.0,0,0,0.0,0,0,416.0,"6,752",21
2020,59130,CSD 2 - Heritage High,59622,"Ahana Renewables, LLC",CA,CISO,0.0,0,0,487.0,"1,889",1,0.0,0,0,0.0,0,0,487.0,"1,889",1
2020,59129,CSD 2- Freedom High,59622,"Ahana Renewables, LLC",CA,CISO,0.0,0,0,313.0,"1,212",1,0.0,0,0,0.0,0,0,313.0,"1,212",1
2020,56813,CSU Fresno Solar Project,56028,MMA Fresno Power LP,CA,CISO,0.0,0,0,233.0,"1,149",1,0.0,0,0,0.0,0,0,233.0,"1,149",1
2020,62028,CSU Long Beach Lots 7 & 14,61944,Goldman Sachs Renewable Power Group,CA,CISO,0.0,0,0,999.0,"7,372",1,0.0,0,0,0.0,0,0,999.0,"7,372",1
2020,58481,CSU Pueblo,58467,"SSA Solar of CO 1, LLC",CO,WACM,0.0,0,0,113.0,"1,837",1,0.0,0,0,0.0,0,0,113.0,"1,837",1
2020,60979,CSUF Nutwood Solar,61944,Goldman Sachs Renewable Power Group,CA,CISO,0.0,0,0,403.0,"3,174",1,0.0,0,0,0.0,0,0,403.0,"3,174",1
2020,60978,CSUF State College,61944,Goldman Sachs Renewable Power Group,CA,CISO,0.0,0,0,209.0,"1,639",1,0.0,0,0,0.0,0,0,209.0,"1,639",1
2020,58386,CU Solar Plant,58373,CU Solar LLC,OH,PJM,0.0,0,0,281.0,"2,328",1,0.0,0,0,0.0,0,0,281.0,"2,328",1
2020,59283,California PV Energy at ISD WWTP,58540,California PV Energy LLC,CA,CISO,0.0,0,0,0.0,0,0,65.0,496,1,0.0,0,0,65.0,496,1
2020,55308,Calvert City,57295,DTE Calvert City LLC,KY,TVA,0.0,0,0,0.0,0,0,"6,370.0","120,078",3,0.0,0,0,"6,370.0","120,078",3
2020,61604,Camden CSD Solar Array,60571,"AEP Onsite Partners, LLC",NY,NYIS,0.0,0,0,254.0,"2,644",1,0.0,0,0,0.0,0,0,254.0,"2,644",1
2020,60685,Canyon Del Oro High School Solar,60404,"Constellation Solar Arizona 2, LLC",AZ,TEPC,0.0,0,0,276.0,"2,732",1,0.0,0,0,0.0,0,0,276.0,"2,732",1
2020,59297,Carrier Clinic,59100,"Sunlight General Solar Fund II, LLC",NJ,PJM,0.0,0,0,165.0,"1,844",1,0.0,0,0,0.0,0,0,165.0,"1,844",1
2020,62763,Carver CSG,60281,"Altus Power America Management, LLC",MA,ISNE,323.0,"3,033",61,0.0,0,0,0.0,0,0,0.0,0,0,323.0,"3,033",61
2020,63385,Castaic Lake Phase II,61944,Goldman Sachs Renewable Power Group,CA,CISO,0.0,0,0,899.0,"6,430",1,0.0,0,0,0.0,0,0,899.0,"6,430",1
2020,60353,Cecil County CCVT HS,60150,"SunE DB42, LLC",MD,PJM,377.0,"2,584",1,0.0,0,0,0.0,0,0,0.0,0,0,377.0,"2,584",1
2020,59630,CentraState Medical Center PV Facility,62060,CleanCapital,NJ,PJM,0.0,0,0,499.0,"7,231",1,0.0,0,0,0.0,0,0,499.0,"7,231",1
2020,63439,Central CA Fuel Cell 1,61939,"Clearway Energy, Inc",CA,CISO,0.0,0,0,"1,219.0","15,448",1,0.0,0,0,0.0,0,0,"1,219.0","15,448",1
2020,58151,Central Utility Plant - Texas A&M,58113,"Texas A&M, Utilities & Energy Services",TX,ERCO,0.0,0,0,"3,066.0","39,299",29,820.0,"10,513",25,0.0,0,0,"3,886.0","49,812",54
2020,10566,Chambers Cogeneration LP,14932,US Operating Services Company,NJ,PJM,0.0,0,0,0.0,0,0,"6,908.0","54,945",1,0.0,0,0,"6,908.0","54,945",1
2020,55187,Channelview Cogeneration Plant,56380,EIF Channelview Cogeneration LLC,TX,ERCO,0.0,0,0,0.0,0,0,"57,845.0","2,364,973",1,0.0,0,0,"57,845.0","2,364,973",1
2020,60465,Chesapeake College,60947,Tesla Inc.,MD,PJM,0.0,0,0,111.0,"2,355",1,0.0,0,0,0.0,0,0,111.0,"2,355",1
2020,59755,Chester Power Partners,59522,Chester Power Partners LLC,VT,ISNE,0.0,0,0,662.0,"2,779",1,0.0,0,0,0.0,0,0,662.0,"2,779",1
2020,63545,Chevron - Lost Hills Hybrid,61944,Goldman Sachs Renewable Power Group,CA,CISO,0.0,0,0,"3,754.0","56,333",1,0.0,0,0,0.0,0,0,"3,754.0","56,333",1
2020,59743,Chimes West Friendship (Nixon Farms),59540,"SunE SEM 1, LLC",MD,PJM,320.0,"1,763",1,0.0,0,0,0.0,0,0,0.0,0,0,320.0,"1,763",1
2020,57011,Chuckawalla Valley State Prison,56302,SunE CPA CDC1 LLC,CA,CISO,0.0,0,0,177.0,"1,653",1,0.0,0,0,0.0,0,0,177.0,"1,653",1
2020,57645,City & County of Denver at Denver Int'l,56974,"Denver Airport Solar, LLC",CO,PSCO,0.0,0,0,0.0,0,0,333.0,"7,201",1,0.0,0,0,333.0,"7,201",1
2020,57681,City of Boulder WWTP,57005,"SunE NLB-2, LLC",CO,PSCO,0.0,0,0,55.0,"1,205",1,0.0,0,0,0.0,0,0,55.0,"1,205",1
2020,60668,City of Havre De Grace C,61419,"Constellation Solar MC, LLC",MD,PJM,0.0,0,0,289.0,"3,361",1,0.0,0,0,0.0,0,0,289.0,"3,361",1
2020,57682,City of Madera WWTP,57006,"SunE GIL1, LLC",CA,CISO,0.0,0,0,231.0,"1,532",1,0.0,0,0,0.0,0,0,231.0,"1,532",1
2020,59329,City of Soledad Water Reclamation,56930,"Foundation HA Energy Generation, LLC",CA,CISO,0.0,0,0,0.0,0,0,357.0,"3,470",1,0.0,0,0,357.0,"3,470",1
2020,63481,Clear Garden CSG,63215,Clear Garden LLC,MN,MISO,0.0,0,0,146.0,"1,638",7,0.0,0,0,0.0,0,0,146.0,"1,638",7
2020,58832,Cogenra - TEP,63249,Terraform Arcadia,AZ,TEPC,0.0,0,0,191.0,"1,745",1,0.0,0,0,0.0,0,0,191.0,"1,745",1
2020,61576,Columbia University - Johnson Farms,61012,AES Distributed Energy,NY,NYIS,0.0,0,0,444.0,"3,635",1,0.0,0,0,0.0,0,0,444.0,"3,635",1
2020,61578,Columbia University - Minisink,61012,AES Distributed Energy,NY,NYIS,0.0,0,0,399.0,"3,262",1,0.0,0,0,0.0,0,0,399.0,"3,262",1
2020,60228,Conn Mun Electric Energy Coop,60947,Tesla Inc.,CT,ISNE,0.0,0,0,197.0,"1,383",1,0.0,0,0,0.0,0,0,197.0,"1,383",1
2020,63358,Corbin Russwin Phase 3 Berlin,62067,EnterSolar,CT,ISNE,0.0,0,0,122.0,"1,721",1,0.0,0,0,0.0,0,0,122.0,"1,721",1
2020,60450,Corcoran,63249,Terraform Arcadia,CA,CISO,0.0,0,0,380.0,"1,926",1,0.0,0,0,0.0,0,0,380.0,"1,926",1
2020,60150,Cornell Geneva Solar Farm,59942,Argos Solar LLC,NY,NYIS,0.0,0,0,324.0,"3,102",1,0.0,0,0,0.0,0,0,324.0,"3,102",1
2020,59470,Cornell Snyder Road Solar Array,59237,"Ulysses Solar, LLC",NY,NYIS,0.0,0,0,154.0,"1,992",1,0.0,0,0,0.0,0,0,154.0,"1,992",1
