Utility Characteristics,,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
,,,,,,Customers Enrolled,,,,,Time of Use Pricing,,,,Real Time Pricing,,,,Variable Peak Pricing,,,,Critical Peak Pricing,,,,Critical Peak Rebate,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation,Residential,Commercial,Industrial,Transportation
2022,55,City of Aberdeen - (MS),,MS,TVA,0,19,1,0,20,,Y,Y,,,,,,,,,,,,,,,,,
2022,84,A & N Electric Coop,,VA,PJM,2,5,0,0,7,Y,Y,,,,,,,,,,,,,,,,,,
2022,97,Adams Electric Coop,Y,IL,MISO,51,11,.,.,62,,,,,,,,,,,,,,,,,,,,
2022,108,Adams-Columbia Electric Coop,,WI,MISO,831,"1,053",24,.,"1,908",Y,Y,Y,,,,,,,,,,,Y,Y,,,,Y,
2022,162,Aiken Electric Coop Inc,,SC,SC,2,70,0,0,72,Y,Y,,,,,,,,,,,,,,,,,,
2022,195,Alabama Power Co,,AL,SOCO,"2,602","4,459","1,094",.,"8,155",Y,Y,Y,,,,Y,,,,,,Y,,,,,,,
2022,213,Alaska Electric Light & Power Co.,,AK,NA,42,4,.,.,46,Y,Y,,,,,,,,,,,,,,,,,,
2022,240,Albemarle Electric Member Corp,,NC,PJM,33,8,.,.,41,Y,Y,,,,,,,,,,,,,,,,,,
2022,241,Albertville Municipal Utilities Board,,AL,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2022,276,Alcorn County Elec Power Assn,,MS,TVA,0,1,4,0,5,,Y,Y,,,,,,,,,,,,,,,,,
2022,307,Algoma Utility Comm,,WI,MISO,3,27,1,0,31,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,407,Altamaha Electric Member Corp,,GA,SOCO,.,.,231,.,231,,,Y,,,,,,,,,,,,,,,,,
2022,540,BP Energy Company,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2022,554,City of Ames - (IA),,IA,MISO,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2022,571,City of Amory,,MS,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,590,City of Anaheim - (CA),,CA,CISO,"1,982",151,32,.,"2,165",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2022,636,City of Anderson - (IN),,IN,PJM,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2022,689,Connexus Energy,,MN,MISO,"15,513",149,19,.,"15,681",Y,Y,Y,,,,,,,,,,,Y,Y,,Y,,,
2022,719,Town of Apex- (NC),,NC,CPLE,44,126,.,.,170,Y,Y,,,,,,,,,,,,Y,,,,,,
2022,727,Appalachian Electric Coop,,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,733,Appalachian Power Co,,VA,PJM,"1,336",588,20,0,"1,944",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,733,Appalachian Power Co,,WV,PJM,328,724,6,0,"1,058",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,750,Arab Electric Coop Inc,,AL,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2022,803,Arizona Public Service Co,,AZ,AZPS,"736,606","1,064",28,0,"737,698",Y,Y,Y,,,,,,,,,,Y,,,,Y,,,
2022,814,Entergy Arkansas LLC,,AR,MISO,345,472,290,.,"1,107",Y,Y,Y,,,,,,,,,,,,,,Y,,,
2022,887,"Arrowhead Electric Coop, Inc",Y,MN,MISO,.,2,.,.,2,,,,,,,,,,,,,,,,,,,,
2022,944,City of Athens - (AL),,AL,TVA,0,4,5,0,9,,Y,Y,,,,,,,,,,,,,,,,,
2022,947,Athens Utility Board,,TN,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2022,970,Homefield Energy,,IL,MISO,.,56,.,.,56,,,,,,Y,,,,,,,,,,,,,,
2022,1009,City of Austin - (MN),,MN,MISO,.,9,.,.,9,,Y,,,,,,,,,,,,,,,,,,
2022,1015,Austin Energy,,TX,ERCO,79,9,6,.,94,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,1036,Town of Ayden - (NC),Y,NC,CPLE,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2022,1050,City of Azusa,,CA,CISO,296,5,28,.,329,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,1167,Baltimore Gas & Electric Co,,MD,PJM,"1,160,020",0,0,0,"1,160,020",,,,,,,,,,,,,,,,,Y,,,
2022,1175,"Bandera Electric Coop, Inc",,TX,ERCO,"1,193",.,.,.,"1,193",Y,,,,,,,,,,,,,,,,,,,
2022,1181,Village of Bangor - (WI),Y,WI,MISO,1,.,.,.,1,,,,,,,,,,,,,,,,,,,,
2022,1251,Barron Electric Coop,,WI,MISO,.,6,11,.,17,,Y,Y,,,,,,,,,,,Y,Y,,,,,
2022,1278,City of Barron - (WI),Y,WI,MISO,3,0,1,0,4,,,,,,,,,,,,,,,,,,,,
2022,1283,Bartholomew County Rural E M C,,IN,MISO,250,0,9,.,259,Y,,Y,,,,,,,,,,,,,,,,,
2022,1366,City of Bay City - (MI),,MI,MISO,13,19,8,0,40,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2022,1417,"Beartooth Electric Coop, Inc",Y,MT,NWMT,"5,641",519,1,.,"6,161",,,,,,,,,,,,,,,,,,,,
2022,1417,"Beartooth Electric Coop, Inc",Y,WY,NWMT,447,85,.,.,532,,,,,,,,,,,,,,,,,,,,
2022,1522,Village of Belmont - (WI),Y,WI,MISO,.,.,9,.,9,,,,,,,,,,,,,,,,,,,,
2022,1523,Town of Belmont - (MA),Y,MA,ISNE,146,.,.,.,146,,,,,,,,,,,,,,,,,,,,
2022,1529,"Beltrami Electric Coop, Inc",,MN,MISO,.,22,.,.,22,,,,,,,,,,,,,,Y,,,,,,
2022,1578,Benton County,,TN,TVA,0,"1,767",1,0,"1,768",,Y,Y,,,,,,,,,,,,,,,,,
2022,1591,"Big Country Electric Coop, Inc",,TX,ERCO,.,.,12,.,12,,,Y,,,,,,,,,,,,,,,,,
2022,1613,Berkeley Electric Coop Inc,,SC,SC,184,148,9,0,341,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,1675,Big Horn Rural Electric Co,Y,WY,WACM,2,3,.,.,5,,,,,,,,,,,,,,,,,,,,
2022,1769,"Black Hills Electric Coop, Inc",,SD,SWPP,"5,583","1,528",94,.,"7,205",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,1776,City of Black River Falls,,WI,MISO,70,73,0,0,143,Y,Y,,,,,,,,,,,,,,,,,,
2022,1866,Bloomer Electric & Water Co,Y,WI,MISO,0,2,9,.,11,,,,,,,,,,,,,,,,,,,,
2022,1884,BENCO Electric Cooperative,,MN,MISO,16,.,1,.,17,Y,,Y,,,,,,,,,,,,,,,,,
2022,1886,Blue Grass Energy Coop Corp,,KY,PJM,20,46,.,.,66,Y,Y,,,,,,,,,,,,,,,,,,
2022,1889,Blue Ridge Elec Member Corp - (NC),,NC,DUK,44,10,.,.,54,Y,Y,,,,,,,,,,,,,,,,,,
2022,1997,City of Boscobel - (WI),,WI,MISO,0,8,0,0,8,,Y,,,,,,,,,,,,,,,,,,
2022,2001,Boone Electric Coop,,MO,AECI,91,8,1,.,100,Y,,,,,,,,,,,,,Y,Y,,,,,
2022,2008,City of Boulder City - (NV),,NV,WALC,0,2,0,0,2,,Y,,,,,,,,,,,,,,,,,,
2022,2056,City of Bowling Green - (KY),,KY,TVA,0,2,2,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2022,2192,Bremen Electric Light & Power Co,Y,IN,MISO,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2022,2212,"Broad River Electric Coop, Inc",,NC,DUK,4,.,.,.,4,Y,,,,,,,,,,,,,,,,,,,
2022,2247,City of Bristol - (TN),,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2022,2248,Bristol Virginia Utilities,,VA,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2022,2273,Brodhead Water & Lighting Comm,,WI,MISO,1,44,2,0,47,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,2411,City of Brownsville,,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2022,2439,City of Bryan - (OH),Y,OH,PJM,.,5,6,.,11,,,,,,,,,,,,,,,,,,,,
2022,2442,City of Bryan - (TX),,TX,ERCO,.,28,2,.,30,,Y,Y,,,,,,,,,,,,,,,,,
2022,2507,City of Burbank Water and Power,,CA,LDWP,330,"6,800",.,.,"7,130",Y,Y,,,,,,,,,,,,,,,,,,
2022,2548,City of Burlington Electric - (VT),,VT,ISNE,37,16,9,0,62,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2022,2641,"Butler Rural El Coop Assn, Inc - (KS)",Y,KS,SWPP,"6,812",923,.,.,"7,735",,,,,,,,,,,,,,,,,,,,
2022,2651,Butler Rural Electric Coop Inc - (OH),,OH,PJM,.,2,2,.,4,,,,,,,,,,,,,,,Y,,,Y,Y,
2022,2655,"Butte Electric Coop, Inc",Y,SD,WACM,13,2,.,.,15,,,,,,,,,,,,,,,,,,,,
2022,2830,Calpine Power America LLC,,ME,ISNE,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2022,2830,Calpine Power America LLC,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2022,2849,Central Electric Power Assn - (MS),,MS,TVA,0,1,5,0,6,,Y,Y,,,,,,,,,,,,,,,,,
2022,2960,"Caney Fork Electric Coop, Inc",,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,2985,"Capital Electric Coop, Inc",,ND,SWPP,11,23,1,.,35,Y,,,,,,,,,,,,Y,Y,Y,,,,,
2022,2998,"Carbon Power & Light, Inc",Y,WY,WACM,445,62,0,0,507,,,,,,,,,,,,,,,,,,,,
2022,3046,Duke Energy Progress - (NC),,NC,CPLE,"20,408","21,555","1,327",.,"43,290",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2022,3046,Duke Energy Progress - (NC),,SC,CPLE,"1,489","2,993",232,.,"4,714",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2022,3075,Carroll County - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,3107,Carteret-Craven El Member Corp,,NC,CPLE,72,.,.,.,72,Y,,,,,,,,,,,,,,,,,,,
2022,3108,City of Cartersville - (GA),,GA,SOCO,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2022,3208,Cedarburg Light & Water Comm,,WI,MISO,29,28,1,0,58,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,3222,Central Alabama Electric Coop,,AL,SOCO,.,.,2,.,2,,,,,,,,,,,,,,,Y,,,,,
2022,3226,"Central Rural Electric Cooperative, Inc",,OK,AECI,.,4,.,.,4,,Y,,,,,,,,,,,,,,,,,,
2022,3245,"Central Florida Elec Coop, Inc",,FL,SEC,2,4,332,.,338,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,3248,Central Georgia El Member Corp,,GA,SOCO,5,.,4,.,9,Y,,,,,,Y,,,,,,,,,,,,,
2022,3249,Central Hudson Gas & Elec Corp,,NY,NYIS,"1,104",227,53,.,"1,384",Y,,,,,Y,Y,,,,,,,,,,,,,
2022,3250,Central Electric Membership Corp. - (NC),,NC,CPLE,3,.,.,.,3,Y,,,,,,,,,,,,,,,,,,,
2022,3266,Central Maine Power Co,,ME,ISNE,"5,026",831,149,0,"6,006",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,3273,"Central New Mexico El Coop, Inc",,NM,PNM,"1,995",11,.,.,"2,006",Y,Y,,,,,,,,,,,,,,,,,,
2022,3293,Central Wisconsin Elec Coop,Y,WI,MISO,79,51,.,.,130,,,,,,,,,,,,,,,,,,,,
2022,3329,Borough of Chambersburg,,PA,PJM,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2022,3400,City of Chaska - (MN),,MN,MISO,24,1,.,.,25,Y,Y,,,,,,,,,,,,,,,,,,
2022,3408,City of Chattanooga - (TN),,GA,TVA,4,0,1,0,5,Y,,Y,,,,,,,,,,,,,,,,,
2022,3408,City of Chattanooga - (TN),,TN,TVA,78,21,60,0,159,Y,Y,Y,,,,Y,,,,,,,,,,,,,
2022,3413,PUD No 1 of Chelan County,,WA,CHPD,.,.,27,.,27,,,Y,,,,Y,,,,,,,,,,,,,
2022,3426,Cherokee Electric Coop,,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,3498,Chippewa Valley Electric Coop,Y,WI,MISO,0,12,25,0,37,,,,,,,,,,,,,,,,,,,,
2022,3502,"Choctawhatche Elec Coop, Inc",,FL,SOCO,532,34,0,0,566,Y,Y,,,,,,,,,,,,,,,,,,
2022,3503,"Choptank Electric Cooperative, Inc",,MD,PJM,.,5,2,.,7,,Y,Y,,,,,,,,,,,,,,,,,
2022,3542,Duke Energy Ohio Inc,,OH,PJM,17,985,39,.,"1,041",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2022,3701,Clark Electric Coop - (WI),Y,WI,MISO,212,.,.,.,212,,,,,,,,,,,,,,,,,,,,
2022,3704,City of Clarksville - (TN),,TN,TVA,0,4,2,0,6,,Y,Y,,,,,,,,,,,,,,,,,
2022,3722,Clarke Electric Coop Inc - (IA),Y,IA,MISO,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,
2022,3731,Town of Clayton,Y,NC,CPLE,.,3,.,.,3,,,,,,,,,,,,,,,,,,,,
2022,3755,Cleveland Electric Illum Co,,OH,PJM,121,0,0,0,121,Y,,,,,,,,,,,,Y,,,,,,,
2022,3758,City of Cleveland - (TN),,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2022,3812,City of Clinton - (TN),,TN,TVA,0,0,10,0,10,,,Y,,,,,,,,,,,,,,,,,
2022,3814,City of Clintonville - (WI),Y,WI,MISO,7,3,12,.,22,,,,,,,,,,,,,,,,,,,,
2022,3841,Coast Electric Power Assn,,MS,SOCO,"26,473",125,0,0,"26,598",Y,Y,,,,,,,,,,,,,,,,,,
2022,3843,Coastal Electric Member Corp,,GA,SOCO,30,.,1,.,31,Y,,,,,,Y,,,,,,,,,,,,,
2022,3855,Columbia Power System,,TN,TVA,0,2,0,0,2,,Y,,,,,,,,,,,,,,,,,,
2022,3915,Coldwater Board of Public Util,,MI,MISO,0,167,65,0,232,,Y,Y,,,,,,,,,,,,,,,,,
2022,3916,Cobb Electric Membership Corp,,GA,SOCO,"1,642","1,801",.,.,"3,443",Y,Y,,,,,,,,,,,,,,,,,,
2022,3989,City of Colorado Springs - (CO),,CO,WACM,52,"1,922",171,.,"2,145",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,4003,City of Colton - (CA),,CA,CISO,.,.,105,.,105,,,Y,,,,,,,,,,,,,,,,,
2022,4045,City of Columbia - (MO),,MO,MISO,.,.,6,.,6,,,Y,,,,,,,,,,,,,,,,,
2022,4073,City of Columbus - (WI),,WI,MISO,3,34,3,0,40,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,4110,Commonwealth Edison Co,,IL,PJM,"395,626","9,431",134,0,"405,191",Y,,,,Y,Y,Y,,,,,,,,,,Y,,,
2022,4147,Town of Concord - (MA),Y,MA,ISNE,43,.,.,.,43,,,,,,,,,,,,,,,,,,,,
2022,4176,Connecticut Light & Power Co,,CT,ISNE,521,"2,331",603,2,"3,457",Y,Y,Y,Y,,,,,Y,,,,,,,,,,,
2022,4226,Consolidated Edison Co-NY Inc,,NY,NYIS,.,.,.,.,.,Y,Y,Y,Y,Y,Y,Y,,,,,,Y,,,,,,,
2022,4254,Consumers Energy Co,,MI,MISO,"113,860","1,125",16,.,"115,001",Y,Y,Y,,,,,,,,,,Y,,Y,,Y,,,
2022,4294,City of Cookeville - (TN),,TN,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2022,4295,Comanche County Elec Coop Assn,,TX,ERCO,.,.,1,.,1,,,,,,,Y,,,,,,,,,,,,,
2022,4327,Coosa Valley Electric Coop Inc,,AL,SOCO,.,.,2,.,2,,,Y,,,,,,,,,,,,Y,,,,,
2022,4362,Corn Belt Energy Corporation,,IL,MISO,131,3,.,.,134,Y,Y,,,,,,,,,,,,,,,,,,
2022,4390,City of Corona - (CA),,CA,CISO,.,14,7,.,21,,Y,Y,,,,,,,,,,,,,,,,,
2022,4430,"Covington Electric Coop, Inc",,AL,SOCO,.,5,.,.,5,,Y,,,,,,,,,,,,,,,,,,
2022,4432,Coweta-Fayette El Member Corp,,GA,SOCO,32,3,.,.,35,Y,Y,,,,,,,,,,,,,,,,,,
2022,4433,City of Covington - (GA),,GA,SOCO,.,2,.,.,2,,Y,,,,,,,,,,,,,,,,,,
2022,4437,City of Covington - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,4471,Craig-Botetourt Electric Coop,Y,VA,PJM,2,.,.,.,2,,,,,,,,,,,,,,,,,,,,
2022,4538,Crisp County Power Comm,,GA,SOCO,.,98,5,.,103,,Y,Y,,,,Y,,,,,,,,,,,,,
2022,4577,Crow Wing Cooperative Power & Light Comp,,MN,MISO,27,1,.,.,28,Y,Y,,,,,,,,,,,,,,,,,,
2022,4604,City of Crystal Falls,,MI,MISO,"1,296",246,0,0,"1,542",Y,Y,,,,,,,,,,,,,,,,,,
2022,4607,City of Cuba City,,WI,MISO,0,4,0,0,4,,Y,,,,,,,,,,,,,,,,,,
2022,4618,"Cullman Electric Coop, Inc",,AL,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2022,4622,"Cumberland Valley Electric, Inc.",,KY,PJM,9,.,.,.,9,Y,,,,,,,,,,,,,,,,,,,
2022,4624,Cumberland Elec Member Corp,,TN,TVA,0,0,11,0,11,,,Y,,,,,,,,,,,,,,,,,
2022,4675,Cuivre River Electric Coop Inc,,MO,AECI,.,7,.,.,7,,,,,,,,,,,,,,Y,,,,,,
2022,4704,"DS&O Electric Cooperative, Inc.",Y,KS,SWPP,"7,219",132,3,.,"7,354",,,,,,,,,,,,,,,,,,,,
2022,4794,City of Danville - (VA),,VA,PJM,5,.,.,.,5,Y,,,,,,,,,,,,,,,,,,,
2022,4848,Daviess Martin County R E M C,,IN,MISO,27,.,.,.,27,Y,,,,,,,,,,,,,,,,,,,
2022,4920,City of Dayton - (TN),,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,4958,Decatur Utilities,,AL,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2022,4960,Decatur County Rural E M C,,IN,MISO,1,.,.,.,1,Y,,,,,,,,,,,,,,,,,,,
2022,5027,Delmarva Power,,DE,PJM,"189,192","1,911",0,0,"191,103",,,,,,,,,,,,,,,,,Y,Y,,
2022,5027,Delmarva Power,,MD,PJM,"113,680",0,0,0,"113,680",,,,,,,,,,,,,,,,,Y,,,
2022,5063,City of Denton - (TX),,TX,ERCO,.,1,1,.,2,,,Y,,,Y,,,,,,,,,,,,,,
2022,5070,Delaware Electric Cooperative,,DE,PJM,2,"1,176",.,.,"1,178",Y,Y,,,,,,,,,,,,Y,,,,,,
2022,5078,"Denton County Elec Coop, Inc",,TX,ERCO,"2,089",177,68,.,"2,334",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,5086,Delta Montrose Electric Assn,,CO,WACM,"1,739",38,.,.,"1,777",Y,Y,,,,,,,,,,,,,,,,,,
2022,5109,DTE Electric Company,,MI,MISO,"26,481",18,.,.,"26,499",Y,Y,Y,,,,,,,,,,Y,Y,,,,,,
2022,5111,City of Detroit Lakes - (MN),Y,MN,MISO,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
2022,5148,City of Dickson,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,5325,City of Douglas,,GA,SOCO,.,3,.,.,3,,Y,,,,Y,,,,,,,,,,,,,,
2022,5327,Douglas Electric Coop - (OR),Y,OR,BPAT,.,2,.,.,2,,,,,,,,,,,,,,,,,,,,
2022,5399,Duck River Elec Member Corp,,TN,TVA,2,1,4,0,7,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,5416,"Duke Energy Carolinas, LLC",,NC,DUK,"2,629","15,947","1,004",.,"19,580",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2022,5416,"Duke Energy Carolinas, LLC",,SC,DUK,808,"4,953",442,.,"6,203",Y,Y,Y,,,Y,Y,,,,,,,,,,,,,
2022,5417,Dunn County Electric Coop,,WI,MISO,.,.,3,.,3,,,Y,,,,,,,,,,,,,,,,,
2022,5438,"Duncan Valley Elec Coop, Inc",Y,AZ,WALC,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
2022,5487,Duquesne Light Co,,PA,PJM,449,138,31,.,618,Y,Y,,,,Y,Y,,,,,,,,,,,,,
2022,5509,City of Dyersburg,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,5551,City of Eagle River - (WI),,WI,MISO,1,19,0,0,20,Y,Y,,,,,,,,,,,,,,,,,,
2022,5578,East Mississippi Elec Pwr Assn,,MS,TVA,2,73,0,0,75,Y,Y,,,,,,,,,,,,,,,,,,
2022,5605,Eastern Iowa Light & Power Coop,,IA,MISO,"20,955","2,997",16,.,"23,968",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2022,5632,Eau Claire Electric Coop,Y,WI,MISO,10,12,8,.,30,,,,,,,,,,,,,,,,,,,,
2022,5661,City of Edmond - (OK),,OK,SWPP,.,17,.,.,17,,Y,,,,,,,,,,,,,,,,,,
2022,5701,El Paso Electric Co,,NM,EPE,63,95,9,0,167,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,5701,El Paso Electric Co,,TX,EPE,138,733,38,0,909,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,5773,City of Elk River,,MN,MISO,36,4,.,.,40,Y,Y,,,,,,,,,,,,,,,,,,
2022,5860,Empire District Electric Co,,MO,SWPP,"136,488","20,906",269,.,"157,663",Y,Y,Y,,,,,,,,,,,,,,,,Y,
2022,5862,"Empire Electric Assn, Inc",,CO,WACM,"11,639","2,695",73,.,"14,407",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,5862,"Empire Electric Assn, Inc",,UT,WACM,875,350,5,.,"1,230",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,5961,Town of Erwin - (TN),,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,5964,"Escambia River Elec Coop, Inc",Y,FL,SOCO,.,14,.,.,14,,,,,,,,,,,,,,,,,,,,
2022,5997,Town of Estes Park,Y,CO,PSCO,455,33,.,.,488,,,,,,,,,,,,,,,,,,,,
2022,6008,City of Etowah,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,6043,City of Evansville,,WI,MISO,85,12,2,0,99,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,6112,"Farmers Electric Coop, Inc - (IA)",Y,IA,MISO,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2022,6152,City of Fairview - (OK),Y,OK,SWPP,.,5,.,.,5,,,,,,,,,,,,,,,,,,,,
2022,6182,"Farmers Electric Coop, Inc - (TX)",,TX,ERCO,.,.,2,.,2,,,,,,,Y,,,,,,,,,,,,,
2022,6234,City of Fayetteville,,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2022,6235,Fayetteville Public Works Commission,,NC,CPLE,"74,878","9,394",34,0,"84,306",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,6374,Fitchburg Gas & Elec Light Co,,MA,ISNE,0,28,2,.,30,,Y,Y,,,,,,,,,,,,,,,,,
2022,6395,Flathead Electric Coop Inc,,MT,BPAT,"60,046",.,96,.,"60,142",Y,,Y,,,,,,,,,,,,,,,,,
2022,6411,Flint Electric Membership Corp,,GA,SOCO,94,261,.,.,355,Y,Y,,,,Y,,,,,,,,Y,,,,,,
2022,6422,City of Florence - (AL),,AL,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2022,6424,Florence Utility Comm,,WI,MISO,0,4,0,0,4,,Y,,,,,,,,,,,,,,,,,,
2022,6431,"Flint Hills Rural E C A, Inc",Y,KS,SWPP,783,27,15,0,825,,,,,,,,,,,,,,,,,,,,
2022,6442,Fleming-Mason Energy Coop Inc,,KY,PJM,22,.,.,.,22,Y,,,,,,,,,,,,,,,,,,,
2022,6455,"Duke Energy Florida, LLC",,FL,FPC,348,"16,793",449,0,"17,590",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,6457,Florida Public Utilities Co,,FL,JEA,3,0,0,0,3,Y,,,,,,,,,,,,,,,,,,,
2022,6604,City of Fort Collins - (CO),,CO,PSCO,"69,401",.,.,.,"69,401",Y,,,,,,,,,,,,,,,,,,,
2022,6608,Fort Loudoun Electric Coop,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2022,6612,Fort Payne Improvement Authority,,AL,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2022,6638,City of Fountain,,CO,PSCO,.,43,.,.,43,,Y,,,,,,,,,,,,,,,,,,
2022,6640,Four County Elec Member Corp,,NC,CPLE,13,.,.,.,13,Y,,,,,,,,,,,,,,,,,,,
2022,6641,4-County Electric Power Assn,,MS,TVA,0,"1,031",5,0,"1,036",,Y,Y,,,,,,,,,,,,,,,,,
2022,6709,Easley Combined Utility System,,SC,DUK,67,4,1,.,72,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,6711,Village of Frankfort - (NY),Y,NY,NYIS,"1,499",136,31,0,"1,666",,,,,,,,,,,,,,,,,,,,
