Utility Characteristics,,,,,,Number of,,,,,Types of Program,,,,,,,,,,,,,,,,,,,
2022,6717,Franklin Electric Coop - (AL),,AL,TVA,0,1,3,0,4,,Y,Y,,,,,,,,,,,,,,,,,
2022,6718,City of Franklin - (KY),,KY,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2022,6782,Freeborn Mower Electric Cooperative,,MN,MISO,3,40,10,0,53,Y,Y,Y,Y,,,,,,,,,,Y,Y,,,,,
2022,6909,Gainesville Regional Utilities,,FL,GVL,.,26,.,.,26,,Y,,,,,,,,,,,,,,,,,,
2022,6923,City of Gallatin - (TN),,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2022,6930,City of Gallup - (NM),Y,NM,PNM,.,.,2,.,2,,,,,,,,,,,,,,,,,,,,
2022,6957,"Garkane Energy Coop, Inc",,AZ,WALC,16,.,.,.,16,Y,Y,,,,,,,,,,,,,,,,,,
2022,6957,"Garkane Energy Coop, Inc",,UT,WACM,479,24,.,.,503,Y,Y,,,,,,,,,,,,,,,,,,
2022,7027,City of Gastonia - (NC),,NC,DUK,.,48,13,.,61,,Y,Y,,,,,,,,,,,Y,Y,,,,,
2022,7096,City of Geneva- (IL),,IL,PJM,0,0,5,.,5,,,Y,,,,,,,,,,,,,,,,,
2022,7140,Georgia Power Co,,GA,SOCO,"76,950","13,598","1,714",1,"92,263",Y,Y,Y,Y,,Y,Y,Y,,,,,,,,,,,,
2022,7174,Gibson Electric Members Corp,,KY,TVA,0,84,0,0,84,,Y,,,,,,,,,,,,,,,,,,
2022,7174,Gibson Electric Members Corp,,TN,TVA,0,408,2,0,410,,Y,Y,,,,,,,,,,,,,,,,,
2022,7264,"Glades Electric Coop, Inc",,FL,SEC,2,2,21,.,25,Y,Y,Y,,Y,Y,Y,,,,,,,Y,,,,,,
2022,7270,City of Glasgow - (KY),,KY,TVA,"5,663","1,847",0,0,"7,510",Y,Y,,,,,,,,,,,,,,,,,,
2022,7279,"NextEra Energy Services, LLC",,DE,PJM,.,2,.,.,2,,,,,,Y,,,,,,,,,,,,,,
2022,7279,"NextEra Energy Services, LLC",,IL,MISO,.,6,.,.,6,,,,,,Y,,,,,,,,,,,,,,
2022,7279,"NextEra Energy Services, LLC",,NJ,PJM,.,4,.,.,4,,,,,,Y,,,,,,,,,,,,,,
2022,7279,"NextEra Energy Services, LLC",,OH,PJM,.,5,.,.,5,,,,,,Y,,,,,,,,,,,,,,
2022,7279,"NextEra Energy Services, LLC",,PA,PJM,.,5,.,.,5,,,,,,Y,,,,,,,,,,,,,,
2022,7294,City of Glendale - (CA),,CA,LDWP,132,280,26,.,438,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,7483,City of Grand Haven - (MI),,MI,MISO,.,17,36,.,53,,Y,Y,,,,,,,,,,,,,,,,,
2022,7489,Grand Rapids Public Util Comm,Y,MN,MISO,.,1,.,.,1,,,,,,,,,,,,,,,,,,,,
2022,7490,Grand River Dam Authority,,OK,SWPP,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2022,7496,Town of Granite Falls - (NC),Y,NC,DUK,.,7,2,.,9,,,,,,,,,,,,,,,,,,,,
2022,7558,Grayson Rural Electric Coop Corp,,KY,PJM,.,26,.,.,26,,Y,,,,,,,,,,,,,,,,,,
2022,7563,Grand Valley Power,,CO,PSCO,"16,683","1,906",1,.,"18,590",Y,Y,,,,,,,,,,,,,Y,,,,,
2022,7601,Green Mountain Power Corp,,VT,ISNE,"6,144","3,744",73,0,"9,961",Y,Y,Y,,,,,,,,,,Y,Y,Y,,,Y,Y,
2022,7625,City of Greeneville - (TN),,TN,TVA,0,0,7,0,7,,,Y,,,,,,,,,,,,,,,,,
2022,7634,City of Greenville - (TX),,TX,ERCO,0,88,.,.,88,,Y,,,,,,,,,,,,,,,,,,
2022,7715,Town of Groton - (MA),Y,MA,ISNE,96,0,.,.,96,,,,,,,,,,,,,,,,,,,,
2022,7752,Guadalupe Valley Elec Coop Inc,,TX,ERCO,12,1,2,.,15,Y,Y,,,,,Y,,,,,,,,,,,,,
2022,7787,Gunnison County Elec Assn.,Y,CO,WACM,60,3,.,.,63,,,,,,,,,,,,,,,,,,,,
2022,7826,City of Gunnison - (CO),Y,CO,WACM,38,1,.,.,39,,,,,,,,,,,,,,,,,,,,
2022,7827,Guntersville Electric Board,,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,8000,NineStar Connect,,IN,MISO,"16,478",.,.,.,"16,478",Y,,,,,,,,,,,,,,,,,,,
2022,8122,Harlan Municipal Utilities - (IA),Y,IA,MISO,.,3,1,.,4,,,,,,,,,,,,,,,,,,,,
2022,8147,City of Harriman - (TN),,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,8179,Harrison County Rural E M C,,IN,MISO,179,.,.,.,179,Y,,,,,,,,,,,,,,,,,,,
2022,8212,Hartford Electric,,WI,MISO,20,21,8,0,49,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,8226,City of Hartselle,,AL,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,8287,Hawaii Electric Light Co Inc,,HI,NA,745,41,1,.,787,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,8319,Heartland Power Coop,,IA,MISO,8,52,9,.,69,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,8333,Haywood Electric Member Corp,,NC,DUK,35,22,1,.,58,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,8348,City of Healdsburg - (CA),Y,CA,CISO,120,11,0,0,131,,,,,,,,,,,,,,,,,,,,
2022,8375,City of Hebron - (NE),Y,NE,SWPP,726,287,.,.,"1,013",,,,,,,,,,,,,,,,,,,,
2022,8447,Hendricks County Rural E M C,,IN,MISO,"35,657",773,4,.,"36,434",Y,Y,,,,,,,,,,,,,Y,,,,,
2022,8566,High Plains Power Inc,,WY,WACM,446,7,0,0,453,Y,Y,,,,,,,,,,,,,,,,,,
2022,8570,Highline Electric Assn,,CO,WACM,7,.,.,.,7,Y,,,,,,,,,,,,,,,,,,,
2022,8571,Town of High Point,,NC,DUK,0,186,26,0,212,,Y,Y,,,,,,,,,,,Y,Y,,,Y,Y,
2022,8699,Inland Power & Light Company,,WA,BPAT,.,.,165,.,165,,,Y,,,,,,,,,,,,,,,,,
2022,8723,City of Holland,,MI,MISO,60,.,.,.,60,Y,,,,,,,,,,,,,,,,,,,
2022,8764,"Holston Electric Coop, Inc",,TN,TVA,0,0,6,0,6,,,Y,,,,,,,,,,,,,,,,,
2022,8773,"Holy Cross Electric Assn, Inc",,CO,PSCO,61,23,.,.,84,Y,Y,,,,,,,,,,,,,,,,,,
2022,8846,City of Hopkinsville,,KY,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,8911,Howard Electric Coop,Y,MO,AECI,"3,574",.,.,.,"3,574",,,,,,,,,,,,,,,,,,,,
2022,9023,City of Humboldt,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2022,9087,Town of Huntersville - (NC),,NC,DUK,.,.,2,.,2,,,Y,,,,,,,,,,,,,,,,,
2022,9094,City of Huntsville - (AL),,AL,TVA,0,9,6,0,15,,Y,Y,,,,,,,,,,,,,,,,,
2022,9124,Hustisford Utilities,,WI,MISO,6,9,0,0,15,Y,Y,,,,,,,,,,,,,,,,,,
2022,9191,Idaho Power Co,,ID,IPCO,975,292,119,.,"1,386",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,9191,Idaho Power Co,,OR,IPCO,5,7,6,.,18,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,9209,Illinois Rural Electric Coop,Y,IL,PJM,.,246,.,.,246,,,,,,,,,,,,,,,,,,,,
2022,9273,Indianapolis Power & Light Co,,IN,MISO,198,6,5,0,209,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,9275,Indianola Municipal Utilities,Y,IA,MISO,27,.,.,.,27,,,,,,,,,,,,,,,,,,,,
2022,9324,Indiana Michigan Power Co,,IN,PJM,"14,092","2,311",54,0,"16,457",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,9324,Indiana Michigan Power Co,,MI,PJM,"5,528",439,81,.,"6,048",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,9336,CORE Electric Cooperative,,CO,PSCO,97,382,11,.,490,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,9417,Interstate Power and Light Co,,IA,MISO,"16,926","5,981",346,.,"23,253",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2022,9475,Itasca-Mantrap Co-op Electrical Assn,,MN,MISO,2,.,2,.,4,Y,,Y,,,,,,,,,,,,,,,,,
2022,9576,Jackson County Rural E M C - (IN),,IN,MISO,22,1,.,.,23,Y,Y,,,,,,,,,,,,,,,,,,
2022,9601,Jackson Electric Member Corp - (GA),,GA,SOCO,"1,035",357,.,.,"1,392",Y,Y,,,,,,,,,,,,,,,,,,
2022,9612,City of Jackson - (TN),,TN,TVA,0,3,12,0,15,,Y,Y,,,,,,,,,,,,,,,,,
2022,9617,JEA,,FL,JEA,.,214,11,.,225,,Y,Y,,,,,,,,,,,,,,,,,
2022,9682,"Jefferson Davis Elec Coop, Inc",,LA,MISO,.,17,.,.,17,,Y,,,,,,,,,,,,,,,,,,
2022,9690,Jefferson Utilities,,WI,MISO,2,23,1,0,26,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,9697,City of Jellico,,TN,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2022,9699,"Jemez Mountains Elec Coop, Inc",,NM,WALC,247,30,.,.,277,Y,Y,,,,,,,,,,,,,,,,,,
2022,9726,Jersey Central Power & Lt Co,,NJ,PJM,"13,550",226,66,1,"13,843",Y,Y,Y,,Y,Y,Y,Y,,,,,,,,,,,,
2022,9739,Joe Wheeler Elec Member Corp,,AL,TVA,0,1,19,0,20,,Y,Y,,,,,,,,,,,,,,,,,
2022,9750,"Jo-Carroll Energy, Inc",,IL,MISO,.,.,13,.,13,,,Y,,,,,,,,,,,,,,,,,
2022,9777,Johnson City - (TN),,TN,TVA,0,6,9,0,15,,Y,Y,,,,,,,,,,,,,,,,,
2022,9778,Johnson County Rural E M C,,IN,MISO,"26,996",35,2,.,"27,033",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,9936,Juneau Utility Comm,,WI,MISO,1,36,2,0,39,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,10000,Evergy Metro,,KS,SWPP,"2,756",1,.,.,"2,757",Y,Y,,,,,,,,,,,,,,,,,,
2022,10000,Evergy Metro,,MO,SWPP,"3,244",1,.,.,"3,245",Y,,,,,Y,,,,,,,,,,,,,,
2022,10005,"Evergy Kansas South, Inc",,KS,SWPP,290,270,34,.,594,Y,Y,Y,,,,,,,,,,,,,,,Y,Y,
2022,10019,FreeState Electric Coop,,KS,SWPP,583,5,0,0,588,Y,Y,,,,,,,,,,,,,,,,,,
2022,10056,City of Kaukauna,,WI,MISO,18,84,15,0,117,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,10171,Kentucky Utilities Co,,KY,LGEE,90,"4,571",797,.,"5,458",Y,Y,Y,,,,,,,,,,,Y,Y,,,Y,Y,
2022,10171,Kentucky Utilities Co,,VA,LGEE,.,176,18,.,194,,Y,Y,,,,,,,,,,,,Y,,,,Y,
2022,10331,Kingsport Power Co,,TN,PJM,30,5,.,.,35,Y,Y,,,,,,,,,,,,,,,,,,
2022,10376,Kissimmee Utility Authority,,FL,FMPP,0,49,0,0,49,,Y,,,,,,,,,,,,,,,,,,
2022,10378,"Kit Carson Electric Coop, Inc",,NM,PNM,314,71,0,0,385,Y,Y,,,,,,,,,,,,,,,,,,
2022,10421,Knoxville Utilities Board,,TN,TVA,51,309,11,0,371,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,10448,Kosciusko County Rural E M C,,IN,MISO,.,.,3,.,3,,,Y,,,,,,,,,,,,,,,,,
2022,10539,"La Plata Electric Assn, Inc",,CO,WACM,"4,491",340,13,.,"4,844",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,10599,"Lake Region Electric Coop, Inc - (OK)",,OK,AECI,0,3,1,.,4,,Y,Y,,,,,,,,,,,,,,,,,
2022,10605,Lake Mills Light & Water,,WI,MISO,4,13,0,0,17,Y,Y,,,,,,,,,,,,,,,,,,
2022,10618,Lake Region Electric Cooperative - (MN),,MN,MISO,12,.,.,.,12,Y,,,,,,,,,,,,,,,,,,,
2022,10623,City of Lakeland - (FL),,FL,FMPP,"1,695",84,1,.,"1,780",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,10669,Town of Landis - (NC),Y,NC,DUK,.,.,1,.,1,,,,,,,,,,,,,,,,,,,,
2022,10702,Borough of Lansdale,Y,PA,PJM,.,2,1,.,3,,,,,,,,,,,,,,,,,,,,
2022,10768,"Laurens Electric Coop, Inc",,SC,DUK,5,48,0,0,53,Y,Y,,,,,,,,,,,,,,,,,,
2022,10770,City of Laurinburg - (NC),Y,NC,CPLE,13,.,.,.,13,,,,,,,,,,,,,,,,,,,,
2022,10799,City of Lawrenceburg,,TN,TVA,0,0,8,0,8,,,Y,,,,,,,,,,,,,,,,,
2022,10814,City of Le Sueur - (MN),Y,MN,MISO,.,.,13,.,13,,,,,,,,,,,,,,,,,,,,
2022,10906,City of Lenoir - (TN),,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2022,10960,City of Lewisburg - (TN),,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2022,10962,Lewis County Rural E C A,Y,MO,AECI,1,2,.,.,3,,,,,,,,,,,,,,,,,,,,
2022,10968,City of Lexington - (TN),,TN,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2022,11018,Lincoln Electric System,,NE,SWPP,.,6,.,.,6,,Y,,,,,,,,,,,,,,,,,,
2022,11053,Linn County REC,,IA,MISO,21,169,6,.,196,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2022,11085,Town of Littleton - (MA),,MA,ISNE,.,.,49,.,49,,,Y,,,,,,,,,,,,,,,,,
2022,11124,City of Lodi - (CA),,CA,CISO,.,.,24,.,24,,,Y,,,,,,,,,,,,,,,,,
2022,11125,City of Lodi - (WI),,WI,MISO,10,6,0,0,16,Y,Y,,,,,,,,,,,,,,,,,,
2022,11171,Long Island Power Authority,,NY,NYIS,"30,960",435,.,.,"31,395",,,,,,,,,,,,,,,,,Y,Y,,
2022,11187,City of Longmont,,CO,PSCO,.,.,12,.,12,,,,,,,,,,,,,,,Y,,,,,
2022,11200,"Lorain-Medina R E C, Inc",,OH,PJM,"15,130","1,550",13,.,"16,693",Y,Y,Y,Y,,,,,,,,,,,,,,,,
2022,11208,Los Angeles Department of Water & Power,,CA,LDWP,"11,868","22,801","1,415",.,"36,084",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,11222,Loudon Utilities Board,,TN,TVA,0,2,5,0,7,,Y,Y,,,,,,,,,,,,,,,,,
2022,11241,Entergy Louisiana LLC,,LA,MISO,.,1,7,.,8,,Y,Y,,,,,,,,,,,,,,,,,
2022,11247,Louisville Electric System,,MS,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,11249,Louisville Gas & Electric Co,,KY,LGEE,135,"2,970",337,0,"3,442",Y,Y,Y,,,,,,,,,,,,Y,,,,Y,
2022,11251,Loup River Public Power Dist,,NE,SWPP,.,.,1,.,1,,,Y,,,,Y,,,,,,,,,,,,,
2022,11292,City of Lubbock - (TX),,TX,SWPP,0,3,0,0,3,,Y,,,,,,,,,,,,,,,,,,
2022,11292,City of Lubbock - (TX),,TX,ERCO,0,11,0,0,11,,Y,,,,,,,,,,,,,,,,,,
2022,11479,Madison Gas & Electric Co,,WI,MISO,647,"4,437",19,0,"5,103",Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,,Y,Y,Y,
2022,11515,Town of Maiden - (NC),Y,NC,DUK,.,2,12,.,14,,,,,,,,,,,,,,,,,,,,
2022,11571,Manitowoc Public Utilities,,WI,MISO,3,14,77,.,94,Y,Y,Y,,,,Y,,,,,,,,,,,,,
2022,11714,Marshall-De Kalb Electric Coop,,AL,TVA,0,1,0,0,1,,Y,,,,,,,,,,,,,,,,,,
2022,11740,City of Marshfield - (WI),,WI,MISO,0,0,53,0,53,,,Y,,,,,,,,,,,,,,,,,
2022,11770,City of Martinsville - (VA),Y,VA,PJM,.,3,.,.,3,,,,,,,,,,,,,,,,,,,,
2022,11788,Consumers Energy,,IA,MISO,184,22,3,0,209,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,11789,Maryville Utilities,,TN,TVA,0,0,3,0,3,,,Y,,,,,,,,,,,,,,,,,
2022,11811,Town of Massena - (NY),,NY,NYIS,.,.,1,.,1,,,Y,,,,,,,,,,,,,,,,,
2022,11843,Maui Electric Co Ltd,,HI,NA,330,47,.,.,377,Y,Y,,,,,,,,,,,,,,,,,,
2022,11871,City of Mayfield Plant Board,,KY,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,11910,McLeod Cooperative Power Assn,Y,MN,MISO,.,.,2,.,2,,,,,,,,,,,,,,,,,,,,
2022,12199,Montana-Dakota Utilities Co,,MT,SWPP,0,0,7,0,7,,,Y,,,,,,,,,,,,,,,,,
2022,12199,Montana-Dakota Utilities Co,,ND,MISO,4,331,8,0,343,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,12199,Montana-Dakota Utilities Co,,SD,MISO,.,24,.,.,24,,Y,,,,,,,,,,,,,,,,,,
2022,12199,Montana-Dakota Utilities Co,,WY,WACM,.,9,.,.,9,,Y,,,,,,,,,,,,,,,,,,
2022,12208,City of McPherson - (KS),,KS,SWPP,.,15,2,.,17,,Y,Y,,,,,,,,,,,,,,,,,
2022,12260,Mecklenburg Electric Cooperative,,VA,PJM,.,22,1,.,23,,Y,Y,,,,,,,,,,,,,,,,,
2022,12265,City of Medford - (WI),Y,WI,MISO,2,22,6,0,30,,,,,,,,,,,,,,,,,,,,
2022,12293,City of Memphis - (TN),,TN,TVA,70,0,36,0,106,Y,Y,Y,Y,,,,,,,,,,,,,,,,
2022,12298,City of Menasha - (WI),,WI,MISO,30,130,8,0,168,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,12330,Meriwether Lewis Electric Coop,,TN,TVA,0,1,2,0,3,,Y,Y,,,,,,,,,,,,,,,,,
2022,12341,MidAmerican Energy Co,,IA,MISO,35,"1,124",159,.,"1,318",Y,Y,Y,,,,,,,,,,,,,,,,,
2022,12341,MidAmerican Energy Co,,IL,MISO,8,208,50,.,266,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,12341,MidAmerican Energy Co,,SD,MISO,.,23,1,.,24,,Y,Y,,,,,,,,,,,,,,,,,
2022,12377,Midwest Energy Cooperative,,MI,PJM,50,15,.,.,65,Y,Y,,,,,,,,,,,,,,,,,,
2022,12390,Metropolitan Edison Co,,PA,PJM,105,0,220,0,325,Y,,,,,,Y,,,,,,,,,,,,,
2022,12450,Midland Power Coop,,IA,MISO,.,9,10,.,19,,,,,,,,,,,,,,Y,Y,,,,,
2022,12470,Middle Tennessee E M C,,TN,TVA,0,5,16,0,21,,Y,Y,,,,,,,,,,,,,,,,,
2022,12515,"Midwest Electric, Inc",,OH,PJM,0,27,3,0,30,,,,,,,,,,,,,,Y,Y,,,Y,Y,
2022,12532,City of Milan,,TN,TVA,0,0,1,0,1,,,Y,,,,,,,,,,,,,,,,,
2022,12539,Midwest Electric Member Corp,,NE,WACM,0,32,"2,161",0,"2,193",,Y,Y,,,,,,,,,,,,,,,,,
2022,12540,City of Milford - (DE),,DE,PJM,.,.,11,.,11,,,Y,,,,,,,,,,,,,,,,,
2022,12546,Mille Lacs Energy Cooperative,,MN,MISO,.,.,23,.,23,,,Y,,,,,,,,,,,,Y,,,,,
2022,12642,Maquoketa Valley Rrl Elec Coop,,IA,MISO,"10,807","5,977",.,.,"16,784",Y,Y,,,,,,,,,,,,,,,,,,
2022,12647,"ALLETE, Inc.",,MN,MISO,278,.,.,.,278,Y,,,,,,,,,,,,,,,,,,,
2022,12651,Minnesota Valley Electric Coop,,MN,MISO,346,.,.,.,346,Y,,,,,,,,,,,,Y,,,,,,,
2022,12685,Entergy Mississippi LLC,,MS,MISO,.,.,52,.,52,,,Y,,,,,,,,,,,,,,,,,
2022,12686,Mississippi Power Co,,MS,SOCO,0,0,5,0,5,,,Y,,,,,,,,,,,,,,,,,
2022,12698,Evergy Missouri West,,MO,SWPP,"4,559",3,.,.,"4,562",Y,Y,,,,Y,,,,,,,,,,,,,,
2022,12745,Modesto Irrigation District,,CA,BANC,0,9,143,0,152,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,,,Y,Y,
2022,12860,Morgan County Rural Elec Assn,,CO,WACM,18,.,.,.,18,Y,,,,,,,,,,,,,,,,,,,
2022,12866,Moon Lake Electric Assn Inc,,UT,WACM,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2022,12929,South Central Indiana REMC,,IN,MISO,9,.,.,.,9,Y,,,,,,,,,,,,,,,,,,,
2022,12988,City of Morristown - (TN),,TN,TVA,0,0,4,0,4,,,Y,,,,,,,,,,,,,,,,,
2022,13027,"Mountain Electric Coop, Inc",,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,13036,Village of Mt. Horeb - (WI),,WI,MISO,30,8,0,0,38,Y,Y,,,,,,,,,,,,,,,,,,
2022,13037,City of Mt Pleasant - (UT),Y,UT,PACE,.,.,12,.,12,,,,,,,,,,,,,,,,,,,,
2022,13050,"Mountain Parks Electric, Inc",,CO,WACM,463,30,3,0,496,Y,Y,Y,,,,,,,Y,Y,,,Y,Y,,,,,
2022,13058,"Mountain View Elec Assn, Inc",,CO,WACM,33,.,.,.,33,Y,,,,,,,,,,,,,,,,,,,
2022,13138,City of Murray - (KY),,KY,TVA,0,1,1,0,2,,Y,Y,,,,,,,,,,,,,,,,,
2022,13144,City of Muscle Shoals,,AL,TVA,0,0,5,0,5,,,Y,,,,,,,,,,,,,,,,,
2022,13145,Village of Muscoda - (WI),,WI,MISO,2,7,3,0,12,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,13216,Nashville Electric Service,,TN,TVA,0,18,23,0,41,,Y,Y,,,,,,,,,,,,,,,,,
2022,13318,"Navopache Electric Coop, Inc",,AZ,TEPC,"6,486",133,.,.,"6,619",Y,Y,,,,,,,,,,,,,,,,,,
2022,13337,Nebraska Public Power District,,NE,SWPP,102,28,18,0,148,Y,Y,Y,,,,,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,CA,CISO,0,"6,547",189,0,"6,736",,,,,,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,CT,ISNE,55,"2,646",89,0,"2,790",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,DC,PJM,7,626,.,.,633,,,,,Y,Y,,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,DE,PJM,56,"1,900",7,.,"1,963",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,IL,PJM,42,"26,739",322,0,"27,103",,Y,Y,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,MA,ISNE,382,"13,699",116,0,"14,197",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,MD,PJM,601,"15,146",228,0,"15,975",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,ME,ISNE,12,"1,217",17,0,"1,246",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,MI,MISO,0,958,143,0,"1,101",,,,,,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,NH,ISNE,23,"4,401",29,0,"4,453",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,NJ,PJM,"2,737","19,364",65,.,"22,166",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,NY,NYIS,889,"16,286",497,0,"17,672",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,OH,PJM,94,"14,110",155,.,"14,359",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,OR,PGE,0,48,3,0,51,,,,,,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,PA,PJM,499,"29,893",191,0,"30,583",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,RI,ISNE,15,521,24,0,560,,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,TX,ERCO,23,"9,563",157,0,"9,743",,,,,Y,Y,Y,,,,,,,,,,,,,
2022,13374,"Constellation NewEnergy, Inc",,VA,PJM,0,13,0,0,13,,,,,,Y,,,,,,,,,,,,,,
2022,13407,Nevada Power Co,,NV,NEVP,"7,991","3,624","1,557",.,"13,172",Y,Y,Y,,,,,,,,,,Y,,,,,,,
2022,13412,City of New Albany - (MS),,MS,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,13437,City of Newbern,,TN,TVA,0,0,2,0,2,,,Y,,,,,,,,,,,,,,,,,
2022,13438,Village of New Glarus - (WI),,WI,MISO,0,2,0,0,2,,Y,,,,,,,,,,,,,,,,,,
2022,13441,New Hampshire Elec Coop Inc,,NH,ISNE,119,218,.,.,337,Y,Y,,,,,,,,,,,,,,,,,,
2022,13448,City of New Holstein - (WI),,WI,MISO,19,24,0,0,43,Y,Y,,,,,,,,,,,,,,,,,,
2022,13467,New London Electric&Water Util,,WI,MISO,0,42,5,0,47,,Y,Y,,,,,,,,,,,,,,,,,
2022,13480,New Prague Utilities Comm,Y,MN,MISO,4,.,.,.,4,,,,,,,,,,,,,,,,,,,,
2022,13481,City of New Richmond,,WI,MISO,32,24,0,0,56,Y,Y,,,,,,,,,,,,,,,,,,
